id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S56,METR Frontier Risk Report (شباط–آذار 2026): TH1.1 50% عامّ ≈12h [5h–61h] وداخليّ ≥16h (16–20h)؛ أفقُ 80% ≈1.5h عامّ و3–4h داخليّ؛ لا قياسَ بثقة فوق 16h؛ MirrorCode مشبعٌ >100h؛ 44 حادثة موثّقة؛ غشّ ≈0.5% تحت 30 دقيقة مقابل >1 من 6 فوق 8 ساعات؛ التقاطٌ >80% عند Anthropic مع كسرٍ بشريٍّ للمراقِب,METR,https://metr.org/blog/2026-05-19-frontier-risk-report/,2026-05-19,مسندٌ أولاً للجداول؛ رقما الغشّ والالتقاط وردا في وصفٍ ثانوي,مُقيِّمُ طرفٍ ثالث (بمشاركة أربع شركات),⚠️ إعادةِ قراءة PDF قبل أيِّ اقتباسٍ بيعي لرقمي الغشّ والالتقاط
S57,METR Time Horizon 1.1 (228 مهمة): دوريةُ المضاعفة 188 يوماً كليّاً · 129 يوماً منذ 2023 · 89 يوماً منذ 2024,METR (عبر متتبِّع AI-2027),https://ai2027-tracker.com/predictions/metr-doubling/,2026-05-25,مسندٌ ثانياً (يُنسب إلى مصدره),متتبِّعٌ مستقلّ عن المختبرات,صدورِ TH 1.2 أو توسيعِ النطاق القابل للقياس
S58,"MonitoringBench: التقاطٌ 94.9% على هجماتٍ مُستدعاةٍ من النموذج يهبط إلى 60.3% على أفضل المصقولة؛ 4,783 محاولة؛ 83.78% نجحت جانبياً بعد التصعيد؛ عتباتٌ بمعدل إيجابيّ كاذب 1%",arXiv:2605.09684,https://arxiv.org/html/2605.09684v1,2026-05,مسندٌ أولياً (preprint),مستقلٌّ بحثي,أيِّ استعمالٍ لرقم تقاطٍ بلا ميزانية مهاجم
S59,MAST/Why Do Multi-Agent LLM Systems Fail: 14 نمط فشل · κ=0.88 · التصميم والمواصفات 41.8% + انعدامُ المحاذاة 36.9% + التحقق/الإنهاء 21.3%,arXiv:2503.13657 (NeurIPS 2025),https://arxiv.org/abs/2503.13657,2025-10-26,مسندٌ أولياً محكَّماً,مستقلٌّ (UC Berkeley),أيِّ عرضٍ نبيعه «أركيسترا وكلاء»
S60,HiddenBench: 30.1% للوكلاء المتعدّدين تحت معلومةٍ موزّعة مقابل 80.7% لوكيلٍ واحد كامل المعلومة؛ يتفاقم مع زيادة العدد,arXiv:2505.11556 (v3),https://arxiv.org/abs/2505.11556,2026-02-06,مسندٌ أولياً (preprint),مستقلّ,قياسِنا الخاص على تعدّدٍ حقيقي
S61,Stanford AI Index 2026: OSWorld من 12% إلى 66.3% مقابل بشرٍ ≈72%؛ Terminal-Bench من 20% إلى 77.3%؛ النشرُ المؤسسي بأرقام مفردة؛ 362 حادثة 2025 مقابل 233 في 2024؛ وتقاريرُ المسؤولية متأخّرة عن تقارير القدرات,Stanford HAI,https://hai.stanford.edu/ai-index/2026-ai-index-report,2026-04,مسندٌ أولياً للمؤسسة · الأرقامُ وردت نقلاً في وصفٍ ثانوي,مستقلٌّ أكاديمي,⚠️ مطابقةِ الأرقام من التقرير الأصلي قبل أيِّ رقمٍ في عرض
S62,EU AI Act: إنذارٌ وغراماتٌ منذ 2026-08-02 (حتى 15M€/3% من الدورة العالمية)؛ تنظيمٌ مؤقتٌ للتدابير التحفظية؛ حقُّ المشتري في Model Documentation Form خلال 14 يوماً؛ تمديدُ Annex I إلى 2028-08 (اتفاق AI Omnibus 2026-05-07),Taylor Wessing + CSA research note,https://www.taylorwessing.com/en/insights-and-events/insights/2026/08/gpai-obligations-under-the-eu-ai-act,2026-08-19,MEDIUM-HIGH (مكتبُ محاماة/تحالف أمني) — ⛔ ليس نصَّ الجريدة الرسمية,مستقلٌّ عنّا وعن البائعين,قراءةِ نصِّ EUR-Lex قبل أيِّ استعمالٍ قانوني
S63,NIST/CAISI (2026-05-05): اتفاقياتُ تقييمٍ قبيل النشر مع Google DeepMind وMicrosoft وxAI تنضمّ إلى Anthropic وOpenAI؛ +40 تقييماً منجَزاً؛ المخرَجُ ليس artefact آليَّ القراءة عند المشتري؛ NIST سحبت الإعلان لاحقاً دون تفسير (2026-06-02),The Hill + Cybersecurity Dive,https://thehill.com/homenews/5863937-google-microsoft-xai-ai-testing/,2026-06-02,مسندٌ صحفياً لحدثَين متعارضين — الحالةُ مُتنازَعٌ عليها,صحافةٌ تنقل عن بيان رسمي,التحققِ من حالة البرنامج قبل أيِّ «إشارة إلزام» في عرض
S64,بنك الجزائر: أجلُ ترحيلٍ 120 يوماً (بدل 360) من شحن البضاعة أو إنجاز الخدمة؛ سقفُ ائتمان 180 يوماً للمشتري غير المقيم بشرط النصِّ عليه في العقد؛ الترحيلُ يومَ الدفع — منقولٌ صحفياً عن نصٍّ موقّعٍ من المحافظ ومنشورٍ في الجريدة الرسمية,Al-Araby New · AAJAE,https://www.alaraby.co.uk/economy,2026-08-20,MEDIUM (صحافةٌ عن نصٍّ رسمي) — لا يُغلق D-282,مصدرٌ اقتصادي عربي؛ غيرُ مستقلٍّ تماماً عن المصدِّرين,⛔ حتى نصِّ JORADP أو صفحةِ بنك الجزائر الرسمية
S65,ملاحظاتُ إصدار الحزم: OSWorld 2.0 بمهام أغسطس 2026 (لا تُخلط بأقدم)؛ هامشُ Terminal-Bench-Science ≈±4 نقاط؛ احتفاظٌ افتراضي بالبيانات 30 يوماً,llm-stats (تدوينٌ تقني),https://llm-stats.com/blog/research/claude-fable-5-1-launch,2026-09-01,LOW-MEDIUM — يُستعمل للإطار لا للدرجة,مستقلّ,أيِّ قياسٍ نُجريُه على إحدى الحزمتين
S66,"إعلانُ OpenAI (2026-09-08): برهانُ تفرّدٍ في زمنٍ منتهى لنافير–ستوكس ثلاثيةِ الأبعاد **لقوةٍ خارجيةٍ ملساء** يُثبت البديلَين C وD من صيغة كلاي، مع Lean formalization؛ ≈10,000 وكيلٍ متزامن، ≈88h، +17h تحقّقٌ بـGPT-6 Astra؛ ولا نيةَ لادّعاءِ الجائزة",OpenAI (نصُّ الإعلان + PDF + مستودع),https://openai.com/index/navier-stokes-solution/ · https://cdn.openai.com/pdf/32d9f210-8b73-45e0-91bc-82a30aef8a9a/navier-stokes.pdf · https://github.com/openai/NavierStokesAndEuler,2026-09-08,P (منشورُ صاحبِ المصلحة),غيرُ مستقلّ: صاحبُ المصلحة؛ يُستعمل للتواريخِ والصيغةِ المُعلَنة، ⛔ لا دليلاً على صحّةِ الرياضيات,إعادةُ بناءٍ عامةٌ للـLean بيدٍ خارجية؛ أو نشرٌ في منفذٍ مؤهَّل؛ أو نقدٌ منشورٌ من ألفوج/باكماستر
S67,حالةُ المسألةِ رسميةً: صفحةُ كلاي تُدرجُ Navier–Stokes `Active`؛ وقواعدُ الجائزة (2018-09-26) تشترط مجتمعين: نشرٌ في منفذٍ مؤهَّل + **عامّان** + قبولٌ عامّ، ولا تقبل مشاركةً مباشرة ⇒ **ممرُّ 731 يوماً** «برهانٌ موجودٌ ولا يُشترى» إن بدأ العدُّ,Clay Mathematics Institute,https://www.claymath.org/millennium/navier-stokes-equation/ · https://www.claymath.org/millennium-problems/rules/,2026-09-12 (اطّلاع),P — السلطةُ الوحيدةُ للحالة,مستقلٌّ تمّاماً عن الصانعَين,زوالُ وسمِ `Active`؛ أو بيانُ مجلسٍ من كلاي؛ أو تعديلُ القواعد
S68,نزاعُ الأسبقية: بيانُ Tristan Buckmaster قبلَ الإعلانِ بنحوِ 12 ساعةً (بالنيابةِ عن نفسه وجزئياً عن Levent Alpöge/Anthropic) أنّ تقدُّمَهما على Euler المُواصَل «سُرِّبَ» و«ألهمَ» الوُصفات؛ OpenAI تنفي الاطّلاعَ قبل النشر العامِّ مع عدمِ نفيِ أثرِ بياناتِ Codex مجهَّلةِ الهوية في التدريب,Wikipedia — Navier–Stokes priority controversy (يجمعُ بيانَ Buckmaster + WSJ + Nature + Fortune + The Verge),https://en.wikipedia.org/wiki/Navier%E2%80%93Stokes_priority_controversy,2026-09-11 (آخرُ تحريرٍ مُلاحَظ),M (تجميعٌ مُرجَعٌ بعشرينَ مصدراً),مستقلٌّ عن الطرفين، وليس مصدراً أوليَّاً: يثبتُ **وجودَ النزاع** لا صوابَ أحدِه,قراءةُ بيانِ Buckmaster الأصلي (Mastodon) ونصِّ Nature/WSJ؛ أو أيُّ إجراءٍ تحقيقيٍّ حول بيانات Codex
S69,التمييزُ الذي يبني سعرَنا: «propose ≠ accepted». الوثيقةُ مُثبَتةٌ في Lean لكن لم تُصب حلّاً معتمَداً؛ ورصدٌ لانضغاطِ العناوين (Quanta: «AI has solved…») أي **تسويقُ الحالةِ يسبقُ حالتَها**,Michael Manlius (تحليلٌ مستقلّ),https://manlius.substack.com/p/no-ai-hasnt-officially-solved-navierstokes,2026-09-10,M (مدوَّنةٌ خبيرةٌ غيرُ محكَّمة),مستقلّ؛ لا مصلحةً له في الصانعَين,بيانُ تصحيحٍ من Quanta؛ أو قبولٌ في محفلٍ محكَّم
S70,تحديدُ ما هو مُثبتٌ فعلاً: C/D (تفرّدٌ تحت قوةٍ ملساء) لا A/B (انتظامٌ عولميّ بلا قوة)؛ manuscript من ~166 صفحة؛ ولا مراجعةَ أقران؛ وكلفةُ الجهد «ملايين» و≈22.5M$ في نقلٍ ثانوي,DataCamp — تدقيقُ الادّعاء,https://www.datacamp.com/blog/openai-navier-stokes-math-problem,2026-09-09,M-L (ناشرُ محتوى تجاريّ),مستقلٌّ عن الطرفين · يُستعمل للتمييزِ بين البدائلِ لا للحكمِ الرياضي,نصُّ الصانعِ نفسِه؛ أو محضرُ قراءةٍ مستقلّ
S71,موقفُ كلاي المُنقُول: رئيسُ المعهد (Martin Bridson) — التقييمُ «على رَويَةٍ ومتعمَّدٌ أن يكون صارماً»؛ وGowers (Fieldsi) لم يقرأ البرهانَ بعدُ ووصفَ اللحظةَ بأنّها «كبرى بلا جدال»,implicator.ai نقلاً عن WSJ,https://www.implicator.ai/clay-institute-navier-stokes-openai-proof-claim/,2026-09-10,M (اقتباسٌ ثانويٌّ لم يُقرأ أصلُه),⛔ **بلا استعمالٍ بيعيٍّ** حتى تُقرأ WSJ — تُذكرُ بوصفها إشارةَ توقيتٍ لا نصّاً,نصُّ WSJ؛ أو بيانٌ مُوَقَّعٌ من كلاي
S72,سوقُ التحكيمِ كمؤشَّرِ طلب: عبارةٌ واحدةٌ على X من Andrew Curran **بوصفِها تنبّؤاً لا خبراً** (Claude حلّ نافير–ستوكس) رفعت توقُّعاً مُتداولاً إلى ≈38%؛ والأرضيةُ الحقيقيةُ نتيجةُ أغسطس لـAnthropic (حدُّ دالةِ زيتا 41.6%→67.2% بنحوِ 60 وكيلاً فرعِيّاً، بتحقّقِ رياضِيَّين من داخلِ الشركة),explainx.ai (تدقيقُ الإشاعة),https://www.explainx.ai/blog/claude-navier-stokes-millennium-prize-rumor-fact-check-2026,2026-09-11,M,مستقلّ · لا علاقةَ له بالطرفَين,نصُّ Anthropic عن نتيجةِ زيتا؛ وأرشيفُ التغريدة
S73,"حقائقُ مستودعِ الشهادات (تُقرأ من الملفّات وتُعادُ بناءً بأمرَين): `lean-toolchain = Lean 4.34.0-rc2`؛ `lake exe cache get && lake build`؛ فحصٌ مستقلٌّ عبر `leanprover/comparator` مع `ComparatorChallenges/{NavierStokes,Euler}.json`؛ ونصُّ المسألة **مُكيَّفٌ من `google-deepmind/formal-conjectures`**؛ دفعتانِ فقط، الأخيرةُ 2026-09-10؛ Euler المنشورُ **بلا قوةٍ خارجية** (unforced) بخلافِ نتيجةِ باكماستر/ألفوج المُواصَلة",github.com/openai/NavierStokesAndEuler (README · ComparatorChallenges/README),https://github.com/openai/NavierStokesAndEuler,2026-09-10,P — أثرٌ قابلٌ لإعادةِ البناء,لا يعتمدُ على ثقةٍ بأحد: المشتري يشغّلُه عندَه. لكنّه يثبتُ **التحقّق** لا **النطاق**,ترقيةُ سلسلةِ الأدوات (rc→GA) تغيّرُ بصمةَ البناء؛ أو تعديلٌ في ملفاتِ المقارنة
